,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,136.1,128.5,180.3,191.9,157.8,159.8,147.4,137.3,176.3,167.0,143.9,158.2,1884.5
1,1962,85.1,128.0,168.1,154.4,178.2,85.4,111.1,139.5,166.5,229.4,132.5,133.1,1711.3
2,1963,49.7,102.9,206.7,123.2,53.3,72.8,121.1,121.5,153.4,201.7,155.8,137.3,1499.4
3,1964,118.7,111.8,197.6,70.8,189.6,96.0,147.0,199.8,133.0,182.6,216.5,139.4,1802.8
4,1965,135.8,142.1,200.8,198.3,200.8,134.1,48.7,202.2,160.1,220.1,142.6,94.5,1880.1
5,1966,133.1,128.9,150.5,138.6,201.4,131.7,129.3,206.9,194.2,167.7,153.9,129.8,1866.0
6,1967,119.5,122.3,142.8,112.7,191.1,206.7,124.7,225.8,244.3 ),176.4,121.2,80.6,1868.1
7,1968,102.3,121.6,188.7,208.1,205.0,155.5 ),85.9,167.6 ),140.3,200.1,180.4,101.5,1857.0
8,1969,77.4,93.2,134.0,156.0,233.2,152.1 ),156.0,180.4,180.0,205.7,159.2,125.1,1852.3
9,1970,137.5,137.9,178.6,131.1,169.5,79.7,106.2,195.6,142.3,152.9 ),183.3 ),119.3,1733.9
10,1971,123.8,103.7,195.9,221.1,186.3,69.5,96.7,127.0,166.2,205.0,185.9,109.3,1790.4
11,1972,115.2,86.8 ),142.6,160.4,179.1,138.9,134.9,184.9,174.3,181.4 ),98.8,141.7,1739.0
12,1973,101.8 ),112.9,189.5,151.5,173.7,157.4,175.1,160.9,117.8,165.7,171.0,127.7,1805.0
13,1974,182.4,117.2,159.8,200.8,198.6,186.5,61.0,213.2,148.7,140.4,161.9,113.3,1883.8
14,1975,103.1,114.5,209.0,119.9,168.6,147.8,155.2,184.6,130.8,146.7,174.0,110.6,1764.8
15,1976,125.0,139.3,164.6,160.2,165.6,93.1,151.1,117.6,156.5,190.5,154.9,123.8,1742.2
16,1977,118.2,161.0,　,158.9,142.2,120.6,134.3,148.3,157.0,198.2,118.9,130.5,1588.1 ]
17,1978,99.2,115.3,184.9,180.2,212.9,133.7,221.4,179.5,128.1,160.9,142.0,130.2,1888.3
18,1979,108.0,89.0,147.1,162.2,220.2,91.1,130.9,168.0,170.5,191.6,110.2,123.8,1712.6
