,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,47.0,7.0,44,0,--,--,--,--,--,--,41,36,98 ]
1,1954,30.0,10.0,46,0,--,--,--,--,--,--,1,48,163
2,1955,55.0,45.0,2,3,--,--,--,--,--,0,0,10,154
3,1956,27.0,35.0,13,0,--,--,--,--,--,0,8,42,85
4,1957,40.0,36.0,32,3,--,--,--,--,--,0,3,10,161
5,1958,32.0,20.0,52,6,0,--,--,--,--,--,3,10,123
6,1959,56.0,8.0,7,0,--,--,--,--,--,--,0,8,84
7,1960,27.0,33.0,30,4,--,--,--,--,--,--,1,48,102
8,1961,42.0,39.0,17,0,--,--,--,--,--,--,6,16,147
9,1962,9.0,23.0,8,0,--,--,--,--,--,--,6,13,62
10,1963,33.0,12.0,11,0,--,--,--,--,--,--,15,10,75
11,1964,8.0,37.0,12,4,--,--,--,--,--,0,0,33,86
12,1965,32.0,15.0,30,2,--,--,--,--,--,--,2,49,112
13,1966,28.0,39.0,21,0,--,--,--,--,--,--,1,25,139
14,1967,28.0,7.0,5,0,--,--,--,--,--,--,1,43,66
15,1968,54.0,44.0,7,0,--,--,--,--,--,0,2,24,149
16,1969,98.0,16.0,8,1,--,--,--,--,--,0,10,35,149
17,1970,65.0,24.0,42,6,--,--,--,--,--,0,26,23,182
18,1971,54.0,15.0,23,2,0,--,--,--,--,0,10,26,143
19,1972,27.0,9.0,5,29,--,--,--,--,--,--,0,9,106
20,1973,13.0,20.0,16,0,--,--,--,--,--,0,6,21,58
21,1974,29.0,23.0,9,0,--,--,--,--,--,0,3,44,88
22,1975,52.0,17.0,35,0,--,--,--,--,--,--,0,19,151
23,1976,23.0,4.0,15,2,--,--,--,--,--,0,8,14,63
24,1977,32.0,12.0,26,0,0,--,--,--,--,--,1,7,92
25,1978,49.0,45.0,7,0,--,--,--,--,--,--,0,2,109
26,1979,24.0,30.0,10,7,--,--,--,--,--,--,6,6,73
27,1980,37.0,29.0,3,9,0,--,--,--,--,0,1,22,90
28,1981,36.0,16.0,16,2,--,--,--,--,--,0,5,21,93
29,1982,12.0,13.0,9,0,--,--,--,--,--,0,4,2,60
30,1983,58.0,47.0,22,--,--,--,--,--,--,1,0,35,133
31,1984,30.0,30.0,10,5,--,--,--,--,--,0,0,25,111
32,1985,83.0,22.0,24,0,--,--,--,--,--,0,9,22,154
33,1986,55.0,15.0,17,2,--,--,--,--,--,0,7,20,120
34,1987,43.0,14.0,13,8,0,--,--,--,--,0,1,47,105
35,1988,35.0,16.0,10,0,--,--,--,--,--,0,9,17,109
36,1989,10.0,15.0,13,0,--,--,--,--,--,0,3,49,64
37,1990,36.0,2.0,4,2,--,--,--,--,--,--,1,11,96
38,1991,78.0,63.0,11,0,--,--,--,--,--,--,2,43,164
39,1992,11.0,33.0,6,1,--,--,--,--,--,--,5,5,96
40,1993,27.0,29.0,12,0,--,--,--,--,--,0,1,11,78
41,1994,43.0,7.0,33,0,--,--,--,--,--,--,0,27,95
42,1995,66.0,19.0,37,0,--,--,--,--,--,--,4,17,149
43,1996,20.0,44.0,17,6,0,--,--,--,--,0,4,28,108
44,1997,31.0,19.0,20,0,--,--,--,--,--,0,0,6,102
45,1998,43.0,12.0,20,0,--,--,--,--,--,--,12,12,81
46,1999,16.0,25.0,7,2,--,--,--,--,--,0,4,20,74
47,2000,20.0,21.0,6,2,--,--,--,--,--,0,1,18,73
48,2001,23.0,7.0,11,--,--,--,--,--,--,--,5,8,60
49,2002,27.0,8.0,24,--,--,--,--,--,--,--,17,6,72
50,2003,29.0,6.0,14,1,--,--,--,--,--,--,0,1,73
51,2004,24.0,14.0,1,7,--,--,--,--,--,--,0,8,47
52,2005,26.0,35.0,27,0,--,--,--,--,--,--,--,70,96
53,2006,34.0,36.0,25,1,--,--,--,--,--,--,2,17,166
54,2007,1.0,46.0,--,6,--,--,--,--,--,--,1,18,72
55,2008,27.0,25.0,4,2,--,--,--,--,--,--,20,35,77
56,2009,42.0,64.0,15,--,--,--,--,--,--,--,--,58,176
57,2010,41.0,25.0,15,--,--,--,--,--,--,--,13,29,139
58,2011,78.0,20.0,10,--,--,--,--,--,--,--,--,28,150
59,2012,31.0,42.0,35,1,--,--,--,--,--,--,--,45,137
60,2013,55.0,68.0,9,--,--,--,--,--,--,--,--,9,177
61,2014,69.0,15.0,14,--,--,--,--,--,--,--,1,58,107
62,2015,12.0,33.0,25,--,--,--,--,--,--,--,1,7,129
63,2016,48.0,43.0,4,--,--,--,--,--,--,--,3,32,103
64,2017,52.0,28.0,35,--,--,--,--,--,--,--,4,28,150
65,2018,36.0,62.0,16,4,--,--,--,--,--,--,--,82,150
66,2019,56.0,19.0,8 ],　,　,　,　,　,　,　,　,　,165 ]
