,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1951,4.1,4.1,3.8,3.8,3.0,3.1,3.4,3.3,2.8,3.6,3.9,3.8,3.6
1,1952,4.1,4.3,4.2,3.7,3.0,3.2,3.0,2.9,3.4,3.5,4.1,3.6,3.6
2,1953,4.3,4.0,4.2,3.7,3.9,4.2,2.7,3.0,3.3,3.4,3.8,3.8,3.7
3,1954,4.1,4.1,3.9,4.3,3.5,4.0,3.3,3.3,3.6,3.7,3.5,3.8,3.8
4,1955,4.6,4.7,3.8,3.6,3.0,3.0,3.5,2.8,3.5,4.3,3.8,3.7,3.7
5,1956,4.9,4.8,4.0,3.7,3.4,3.4,2.6,3.6,4.0,3.9,3.8,4.1,3.9
6,1957,4.0,4.3,4.0,3.7,3.3,3.0,4.0,3.1,4.3,3.3,3.8,4.5,3.8
7,1958,4.6,3.9,4.2,3.7,3.9,3.5,3.3,3.2,3.6,4.0,3.6,4.3,3.8
8,1959,4.3,4.4,4.3,4.6,3.2,3.0,3.8,3.5,3.6,3.7,3.5,4.4,3.9
9,1960,5.0,4.2,4.7,4.5,3.8,4.4,3.8,4.0,4.4,4.8,3.7,4.5,4.3
10,1961,4.2,4.0,3.8,3.7,3.5,2.9,3.8,3.4,3.3,4.2,4.0,3.6,3.7
11,1962,4.3,4.2,4.2,3.9,3.2,2.9,3.8,3.5,3.1,3.7,4.1,4.0,3.7
12,1963,5.7,4.3,4.1,3.9,3.4,3.3,3.4,4.1,3.2,3.5,3.7,3.5,3.8
13,1964,4.3,4.3,4.4,3.5,3.5,3.8,3.5,3.7,3.1,3.7,3.7,3.5,3.8
14,1965,4.4,4.3,4.3,3.8,3.5,3.1,4.4,3.6,3.5,3.4,4.2,4.3,3.9
15,1966,4.1,3.9,5.1,4.0,4.1,3.6,3.0,3.8,4.0,3.3,4.0,3.8,3.9
16,1967,4.1,3.9,4.0,4.2,3.3,3.5,4.1,3.1,3.5,3.8,3.8,4.0,3.8
17,1968,4.7,4.5,4.2,3.4,3.5,3.0,3.6,3.3 ),3.7,4.3,3.5,4.3,3.8
18,1969,4.1,4.2,4.2,4.4,3.5,3.5,3.8,4.1,3.5,3.9,4.1,3.9,3.9
19,1970,3.9,3.9,4.3,3.7,3.9,3.5,3.7,4.5,3.7,4.0,3.8,4.1,3.9
20,1971,4.4,4.2,4.2,3.7,3.8,3.7,3.6,4.8,3.6,3.9,3.5,3.9,3.9
21,1972,4.6,4.7,4.4,4.0,4.0,3.9,4.9,4.1,3.5,3.7,4.7,4.0,4.2
22,1973,4.5,3.7,3.8,3.4,3.8,2.7,3.2,2.8,2.8,3.1,3.0,2.9,3.3
23,1974,3.0,3.4,3.4,2.9,2.8,2.7,3.4,2.9,2.9,2.9,3.1,3.1,3.0
24,1975,2.5,3.0,3.3,3.1,2.7,2.7,2.9,2.7,2.2,2.8,3.0,2.1,2.8
25,1976,2.8,2.9,2.9,2.7,2.6,2.7,3.1,2.2,3.2,2.6,2.5,2.6,2.7
26,1977,1.9,2.1,3.3,3.2,2.7,2.9,2.0,2.5,2.5,2.4,2.5,2.2,2.5
27,1978,2.5,2.6,3.1,2.5,2.3,2.3,2.9,2.8,2.4,2.5,2.3,2.2,2.5
28,1979,2.2,2.9,2.9,3.1,2.9,2.8,2.2,2.9,2.5,2.5,2.5,2.4,2.7
29,1980,2.8,2.4,2.8,3.1,2.7,2.1,2.1,2.3,2.3,2.9,2.2,2.7,2.5
30,1981,2.5,2.8,3.0,2.8,2.3,2.3,2.1,2.4,2.7,2.6,2.3,2.1,2.5
31,1982,2.5,2.4,2.8,2.9,2.1,2.3,2.7,2.5,2.3,2.4,2.5,2.2,2.5
32,1983,2.1,2.8,3.1,2.8,2.4,2.7,2.5,2.7,2.7,2.2,2.5,2.2,2.6
33,1984,2.3,2.5,2.7,3.0,2.1,2.5,1.8,3.0,2.3,2.3,2.4,2.3,2.4
34,1985,2.1,3.2,3.1,3.0,2.9,2.8,2.8,3.8,2.4,3.0,2.9,2.5,2.9
35,1986,2.6,2.7,2.9,2.8,2.8,2.9,2.4,3.0,2.6,2.6,2.3,2.8,2.7
