,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1890,　,　,　,　,　,　,　,28.6 ],27.8,20.1,15.6,13.5,19.3 ]
1,1891,7.1,7.9,13.0,16.2,24.0,23.7,28.0,28.9,27.8,21.1,15.0,10.9,18.6
2,1892,8.2,8.2,9.1,17.4,20.7,24.4,29.0,29.9,26.1,19.7,14.3,7.8,17.9
3,1893,6.6,6.4,11.1,17.7,19.6,24.2,29.7,29.5,26.1,19.5,15.1,9.8,17.9
4,1894,7.3,8.7,12.0,17.8,20.5,28.1,30.6,30.4,25.2,19.5,16.3,10.4,18.9
5,1895,6.8,8.0,11.4,18.3,21.8,24.4,25.4,29.5,26.6,20.8,15.0,10.3,18.2
6,1896,8.0,8.0,10.7,18.0,21.2,25.6,27.5,29.7,25.5,19.6,15.6,9.5,18.2
7,1897,7.7,8.2,9.9,15.4,21.9,22.8,26.4,28.4,24.3,19.6,15.1,8.7,17.4
8,1898,8.0,8.8,9.8,16.3,21.6,23.3,30.3,30.4,25.1,20.8,15.5,10.5,18.4
9,1899,8.3,8.6,12.8,17.8,22.7,25.8,26.5,29.9,23.6,19.3,14.2,9.9,18.3
10,1900,5.4,7.3,10.8,16.5,22.6,23.9,26.4,30.1,26.4,20.6,15.7,10.8,18.0
11,1901,8.1,7.9,12.4,17.7,20.4,24.6,25.5,29.1,26.6,20.7,14.8,9.8,18.1
12,1902,7.1,8.1,13.7,16.5,20.9,24.1,25.0,26.1,26.1,20.9,16.5,11.3,18.0
13,1903,9.1,8.8,11.9,17.3,20.4,24.3,27.4,30.6,26.4,19.5,15.1,8.9,18.3
14,1904,6.2,9.3,10.9,17.6,20.3,26.5,28.9,30.3,25.4,20.5,15.0,10.4,18.4
15,1905,10.0,8.3,11.0,15.5,21.4,24.6,27.6,25.0,25.5,20.8,15.3,11.1,18.0
16,1906,6.7,6.3,12.4,18.2,22.3,22.6,27.3,28.9,23.3,19.6,14.4,11.8,17.8
17,1907,8.1,8.4,11.0,17.7,21.9,23.7,27.4,30.3,25.3,20.4,15.6,9.5,18.3
18,1908,7.9,8.6,10.9,17.0,20.9,25.0,25.9,29.9,23.1,20.8,15.2,10.3,18.0
19,1909,5.9,8.4,10.9,19.1,22.1,24.3,28.9,30.1,25.9,20.0,16.2,10.1,18.5
20,1910,8.4,8.3,11.8,18.2,22.1,24.9,26.9,27.9,24.6,19.7,16.2,9.5,18.2
21,1911,7.2,10.8,13.7,19.3,22.2,25.6,28.1,29.2,26.8,20.3,17.4,9.9,19.2
22,1912,8.5,10.8,12.9,18.5,21.6,24.2,27.8,30.0,23.4,20.3,13.7,8.7,18.4
23,1913,6.7,9.1,11.8,18.5,20.5,24.8,26.8,28.0,24.1,19.6,14.6,10.3,17.9
24,1914,9.8,8.4,13.3,16.6,22.2,25.8,29.3,30.8,26.5,21.3,16.9,11.5,19.4
25,1915,7.6,8.3,11.5,16.6,21.2,26.8,29.1,29.2,26.0,21.4,16.1,12.1,18.8
26,1916,10.8,9.0,10.8,17.3,22.1,27.0,28.0,29.4,27.3,19.4,16.0,11.1,19.0
27,1917,7.6,10.4,11.4,18.0,21.5,24.0,30.9,29.1,25.0,20.7,13.8,10.2,18.6
28,1918,7.0,8.7,11.9,16.6,21.5,24.0,30.9,30.8,26.7,20.0,15.2,8.1,18.5
29,1919,6.5,8.6,13.6,18.4,21.5,24.7,28.3,29.5,26.7,20.7,15.9,10.2,18.7
