,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1930,79.0,75,75,77,80,84,86,83,81,79,77,74,79
1,1931,76.0,76,70,74,74,81,88,81,86,80,79,76,78
2,1932,72.0,70,71,75,73,86,85,81,84,79,77,73,77
3,1933,78.0,74,77,76,78,78,83,86,78,77,76,75,78
4,1934,72.0,73,71,70,75,83,88,85,85,77,77,72,77
5,1935,73.0,75,64,70,79,79,84,84,84,82,77,78,77
6,1936,75.0,72,72,75,74,79,83,86,86,77,76,74,77
7,1937,73.0,74,72,73,78,84,83,84,84,79,81,74,78
8,1938,75.0,71,76,71,77,87,87,83,82,83,74,77,79
9,1939,73.0,69,73,74,78,75,80,83,83,79,77,73,76
10,1940,73.0,72,72,75,73,79,83,86,80,83,78,74,77
11,1941,76.0,71,70,68,78,82,86,86,84,81,77,77,78
12,1942,75.0,73,73,67,78,80,82,82,84,79,75,76,77
13,1943,75.0,73,66,70,76,81,85,86,86,82,81,75,78
14,1944,76.0,76,80,80,82,79,88,86,84,84,81,78,81
15,1945,76.0,72,74,70,78,88,92,91,89,82,78,75,80
16,1946,72.0,70,72,75,78,84,86,86,80,79,77,79,78
17,1947,76.0,73,71,68,80,85,85,85,85,78,73,73,78
18,1948,74.0,72,70,76,76,84,87,86,83,79,78,76,78
19,1949,78.0,75,71,75,77,86,85,86,85,80,75,76,79
20,1950,77.0,75,73,83,81,90,85,88,86,82,81,81,82
21,1951,78.0,75,74,76,79,83,88,85,82,82,79,78,80
22,1952,80.0,80,77,77,82,86,88,87,85,82,79,82,82
23,1953,78.0,78,81,74,77,86,87,84,85,79,73,78,80
24,1954,73.0,74,72,71,75,86,87,82,81,76,73,75,77
25,1955,73.0,74,74,73,80,81,82,81,80,81,82,79,78
26,1956,83.0,80,81,75,78,85,89,84,81,79,78,81,81
27,1957,76.0,78,72,74,77,81,88,85,82,78,79,79,79
28,1958,75.0,73,75,74,78,82,89,86,85,82,81,78,80
29,1959,77.0,78,78,70,80,87,88,86,82,79,78,76,80
30,1960,77.0,72,71,70,75,81,84,80,82,73,79,77,77
31,1961,80.0,76,73,67,72,80,83,82,82,78,76,76,77
32,1962,78.0,77,71,71,72,81,84,79,78,76,76,75,77
33,1963,76.0,72,67,71,81,86,83,84,78,76,75,75,77
34,1964,74.0,74,72,79,74,80,85,82,79,74,75,77,77
35,1965,74.0,71,71,68,72,80,85,78,82,77,75,79,76
36,1966,77.0,77,72,72,73,83,84,82,79,81,79,80,78
37,1967,78.0,78,73,74,73,79,85,82,82,76,76,81,78
