,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1953,　,　,　,　,　,　,　,22.8,19.4,12.8,5.2,3.2,12.7 ]
1,1954,-0.6,0.5,3.2,10.4,14.4,16.8,21.5,25.0,21.8,12.5,6.6,2.1,11.2
2,1955,-1.9,-0.8,3.7,9.9,15.0,20.4,25.3,24.4,18.7,13.9,5.9,2.6,11.4
3,1956,-0.8,-1.8,3.4,9.2,15.2,19.5,22.9,22.6,20.2,14.1,7.3,0.2,11.0
4,1957,0.1,-0.7,0.7,9.8,14.5,17.7,22.6,25.4,17.8,12.7,7.3,3.4,10.9
5,1958,-1.5,0.4,2.7,9.7,14.8,20.1,23.1,23.5,19.8,12.7,6.2,3.6,11.3
6,1959,-1.4,2.2,4.8,10.9,15.5,19.2,23.3,24.2,21.0,14.0,7.9,2.4,12.0
7,1960,-0.4,0.3,4.3,9.0,15.5,19.4,23.1,25.1,20.2,13.3,8.6,2.2,11.7
8,1961,-2.2,-1.4,2.8,10.4,16.9,19.7,25.4,24.7,22.1,15.3,7.6,2.2,12.0
9,1962,-0.2,-0.3,2.7,10.4,16.1,18.8,24.3,25.3,20.5,12.2,7.2,2.7,11.6
10,1963,-2.1,-0.8,2.0,10.8,16.7,20.0,24.0,24.4,18.0,12.8,7.1,2.7,11.3
11,1964,1.1,-0.8,3.0,12.8,16.6,19.0,23.8,26.0,18.8,12.0,6.6,1.4,11.7
12,1965,-1.4,-1.1,1.1,6.4,14.7,20.0,21.6,24.4,19.2,11.9,6.7,1.1,10.4
13,1966,-1.7,0.6,3.7,10.0,14.4,18.7,22.5,25.0,19.8,14.2,6.1,0.1,11.1
14,1967,-1.9,-0.8,3.8,10.3,16.7,19.8,24.1,24.4,20.0,12.5,6.8,-0.2,11.3
15,1968,-1.5,-2.2,3.1,10.1,14.6,20.0,23.7,24.1,19.1,12.2,7.3,4.1,11.2
16,1969,-1.5,-1.0,1.0,9.8,15.4,19.5,23.0,23.5,18.9,12.2,6.4,-0.8,10.5
17,1970,-2.8,-1.1,-1.3,8.7,17.4,19.0,23.4,24.8,20.0,12.6,5.9,0.3,10.6
18,1971,-1.4,-0.2,2.0,9.2,14.8,19.5,23.2,24.6,18.7,11.9,6.7,0.4,10.8
19,1972,1.3,0.6,4.2,10.2,15.0,19.8,23.9,24.2,19.6,13.5,6.8,2.0,11.8
20,1973,0.3,1.3,1.7,11.5,14.9,18.4,24.8,25.8,19.4,12.4,5.9,-0.6,11.3
21,1974,-1.3,-1.4,1.3,9.2,15.9,19.8,21.8,25.0,19.0,12.9,5.4,0.3,10.7
22,1975,-1.5,-1.6,2.5,10.5,15.3,19.7,23.5,25.0,21.5,13.1,7.9,1.7,11.5
23,1976,-1.6,-0.5,3.1,9.0,15.1,19.1,22.5,21.6,18.3,12.2,5.0,0.8,10.4
24,1977,-3.6,-2.5,2.4,9.6,14.8,19.5,24.0,23.3,20.3,13.3,8.9,2.7,11.1
25,1978,-0.6,-2.3,2.0,8.8,16.3,21.2,25.9,25.4,18.9,11.9,6.7,1.9,11.3
26,1979,0.3,2.5,3.5,9.0,14.4,21.8,22.4,24.4,19.8,14.6,9.1,3.7,12.1
27,1980,-1.2,-1.7,1.8,8.1,15.8,21.1,21.7,22.1,19.3,12.9,6.9,1.8,10.7
28,1981,-1.8,-1.4,1.8,8.8,13.6,18.9,24.4,24.0,18.0,11.8,4.6,0.9,10.3
29,1982,-1.2,-0.9,3.7,9.9,16.8,18.6,21.6,24.6,18.4,12.6,8.0,2.7,11.2
30,1983,-0.2,-1.2,2.9,12.0,15.8,18.2,21.3,24.9,20.2,11.7,6.0,0.3,11.0
31,1984,-2.8,-3.1,-0.8,7.5,14.9,21.1,25.2,26.4,19.4,12.5,5.7,1.0,10.6
32,1985,-3.1,0.5,3.0,10.9,16.4,19.1,23.8,27.2,19.4,12.5,6.8,0.5,11.4
33,1986,-2.7,-2.3,2.5,9.7,15.0,19.2,22.0,25.1,20.3,11.6,5.9,3.0,10.8
34,1987,-0.7,0.0,3.3,9.7,16.0,20.7,24.2,24.5,20.3,14.1,7.1,2.4,11.8
35,1988,0.2,-2.3,2.2,9.2,14.5,19.9,21.1,25.6,20.4,12.1,4.6,1.4,10.7
36,1989,1.9,1.9,4.6,10.7,15.0,19.0,23.5,25.0,20.7,12.9,8.6,3.1,12.2
37,1990,-1.4,3.2,4.8,10.7,16.1,21.3,24.1,26.0,21.5,14.5,9.8,4.1,12.9
38,1991,-0.5,-0.4,4.0,11.5,16.0,21.5,23.2,23.6,21.3,14.8,6.3,2.9,12.0
39,1992,1.0,-0.4,4.4,10.0,13.8,18.9,23.0,24.9,19.6,13.6,7.3,2.9,11.6
40,1993,0.7,1.1,3.5,8.2,14.7,19.3,21.3,22.3,19.3,12.5,8.3,2.4,11.1
41,1994,-0.4,0.3,2.5,11.0,16.2,20.6,26.2,27.3,21.6,15.5,7.1,1.4,12.4
42,1995,-0.4,0.4,4.1,10.3,16.1,18.3,23.3,25.2,18.7,15.0,5.7,0.9,11.5
43,1996,-1.0,-0.6,2.8,7.7,14.8,20.2,23.9,24.3,19.1,13.2,7.6,2.6,11.2
44,1997,0.4,0.1,4.1,10.2,16.3,20.7,24.3,24.4,19.9,12.5,8.4,3.0,12.0
45,1998,-0.3,0.5,4.2,13.2,17.7,19.3,23.9,23.7,21.9,15.4,7.1,3.0,12.5
46,1999,-0.2,-0.4,4.4,10.4,15.7,20.3,23.8,26.6,22.1,14.6,8.0,1.9,12.3
47,2000,1.5,-0.4,2.3 ),9.0,16.7,20.4,24.5,26.0,21.3,13.8,7.2,1.6,12.0
48,2001,-1.7,-1.5,2.5,10.6,17.1,20.3,25.3,24.2,20.0,13.7,6.5,1.4,11.5
49,2002,0.6,0.9,5.4,12.3,15.5,19.5,25.2,25.4,19.8,13.5,4.0,1.4,12.0
50,2003,-1.0,0.4,2.9,10.8,16.9,20.8,21.1,23.8,20.6,12.6,9.0,3.6,11.8
51,2004,-0.7,0.5,3.2,10.7,16.6,21.2,25.1,23.9,21.5,13.5,9.7,3.4,12.4
52,2005,-1.0,-0.8,1.6,9.7,14.4,21.9,23.4,25.3,21.3,14.8,6.8,-0.9,11.4
53,2006,-2.1,0.4,3.0,8.3,16.2,20.6,22.3,25.9,19.9,14.4,7.8,3.3,11.7
54,2007,0.8,2.0,3.4,9.2,15.8,20.6,22.0,25.3,22.8,13.8,6.7,3.1,12.1
55,2008,-0.5,-1.1,4.9,10.7,15.6,20.0,24.5,24.3,20.5,14.1,6.6,2.4,11.8
56,2009,0.0,1.3,4.0,10.3,16.7,20.5,22.9,23.9,19.2,13.7,8.0,2.7,11.9
57,2010,-0.3,0.2,3.4,7.5,15.3,21.5,25.1,27.4,21.2,15.0,6.8,3.1,12.2
58,2011,-2.1,-0.7,1.5,8.3,15.7,20.8,25.0,25.5,21.6,13.5 ),8.2,1.5,11.6
59,2012,-1.7,-1.8,2.7,9.9,15.6,19.8,24.6,26.9,23.4,14.3,6.7,0.8,11.8
60,2013,-1.3,-2.0,3.2,9.1,16.1,22.1,24.0,25.4,20.9,16.0,6.5,2.0,11.8
61,2014,-1.5,-0.8,3.6,10.2,16.3,21.6,24.2,25.1,19.4,13.6,7.5,0.3,11.6
62,2015,-0.5,0.5,3.9,11.6,18.4,20.6,24.8,24.8,19.7,13.5,9.7,3.9,12.6
63,2016,1.1,1.7,5.5,11.8,17.9,21.3,24.1,25.8,22.2,14.2,6.5,3.0,12.9
64,2017,0.1,-0.2,3.4,10.0,17.4,19.2,25.5,24.6,19.7,14.3,5.8,0.7,11.7
65,2018,-1.1,-1.1,5.2,12.4,16.5,21.1,27.2,25.8,20.6,14.9,9.1,2.8,12.8
66,2019,-0.1,1.3,4.9 ],　,　,　,　,　,　,　,　,　,0.6 ]
