,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1879,　,　,　,　,　,　,25.2,26.0,169.9,194.8,48.8,38.9,503.6 ]
1,1880,45.4,134.3,84.5,135.9,78.3,65.7,54.4,100.0,49.9,129.0,31.1,13.1,921.6
2,1881,29.6,68.9,111.0,89.3,186.2,341.0,132.7,39.1,208.4,64.4,46.0,67.5,1384.1
3,1882,59.8,57.2,45.3,121.7,82.2,276.0,140.5,129.4,92.8,129.1,102.0,14.0,1250.0
4,1883,82.7,121.1,69.7,123.8,94.4,84.6,18.1,9.1,139.6,370.7,58.9,18.5,1191.2
5,1884,30.3,80.9,98.1,68.3,101.3,200.4,263.2,36.3,331.5,33.6,78.1,40.0,1362.0
6,1885,25.9,23.2,82.3,232.7,118.6,608.2,121.0,29.5,107.9,216.2,91.5,60.1,1717.1
7,1886,40.5,50.2,104.8,141.1,242.8,156.4,11.6,17.6,149.0,182.6,273.0,16.7,1386.3
8,1887,90.2,14.6,67.8,78.5,84.7,165.7,63.2,79.4,122.2,297.5,87.3,35.1,1186.2
9,1888,4.3,32.1,106.2,168.1,84.2,117.3,211.4,151.5,183.3,79.3,104.4,95.3,1337.4
10,1889,21.0,60.2,95.1,298.6,94.4,191.3,326.8,195.8,213.2,136.3,72.3,61.8,1766.8
11,1890,64.4,135.0,157.5,215.5,236.4,91.7,165.4,32.3,301.7,311.5,113.1,188.4,2012.9
12,1891,37.6,51.7,80.8,78.0,73.1,105.1,177.7,210.5,235.4,6.3,24.0,96.4,1176.6
13,1892,27.6,123.7,82.2,135.4,167.8,448.4,173.7,64.9,289.3,135.5,176.2,19.6,1844.3
14,1893,30.5,44.5,82.5,126.0,239.9,71.3,0.0,155.2,125.7,205.9,58.6,15.2,1155.3
15,1894,8.4,44.9,98.7,163.8,79.5,89.3,71.8,26.2,123.7,107.6,83.4,51.2,948.5
16,1895,41.9,95.9,96.7,47.4,119.0,203.1,195.0,144.7,98.6,193.7,65.6,64.0,1365.6
17,1896,23.6,152.2,77.3,172.4,111.1,179.2,183.2,217.3,389.2,127.1,286.4,52.5,1971.5
18,1897,104.8,47.8,131.3,194.5,79.3,164.0,274.8,17.7,567.4,58.6,83.1,9.4,1732.7
19,1898,122.6,79.1,71.6,82.8,129.0,242.4,47.5,76.8,185.1,66.0,117.3,59.4,1279.6
20,1899,57.2,45.5,209.9,195.4,89.3,135.7,168.6,199.3,393.8,241.3,37.4,59.6,1833.0
21,1900,70.3,21.4,86.4,194.1,122.8,116.9,127.9,154.1,205.4,188.3,175.6,41.3,1504.5
22,1901,47.7,34.9,96.5,164.5,49.7,290.9,385.2,67.8,203.9,157.0,43.7,74.1,1615.9
23,1902,28.3,10.9,110.5,81.9,315.8,197.4,152.7,199.3,152.6,178.8,148.3,82.9,1659.4
24,1903,96.5,58.2,147.5,183.9,109.9,64.1,695.4,39.3,194.6,184.3,128.0,78.2,1979.9
25,1904,26.8,23.4,171.3,147.5,135.5,415.6,155.7,142.3,165.3,166.5,18.2,50.3,1618.4
26,1905,70.3,20.4,122.2,83.2,160.7,551.6,267.8,421.9,85.3,110.5,53.2,83.8,2030.9
27,1906,70.8,96.9,60.5,73.3,167.0,134.4,208.5,20.1,175.2,190.4,69.9,70.8,1337.8
28,1907,92.6,48.2,70.0,98.5,157.7,218.1,236.6,309.4,233.9,109.3,86.0,16.8,1677.1
29,1908,34.3,42.5,103.3,274.3,64.6,119.5,136.6,164.3,137.9,133.1,38.1,57.2,1305.7
30,1909,75.9,37.1,115.1,146.0,121.9,288.0,44.9,23.0,194.0,72.3,64.3,24.5,1207.0
31,1910,110.8,50.8,65.3,83.9,106.9,168.3,74.9,129.2,330.2,206.2,71.0,9.9,1407.4
32,1911,72.3,26.5,99.1,149.9,88.8,279.8,261.3,161.0,324.5,100.8,53.7,34.3,1652.0
33,1912,47.1,142.1,99.8,122.9,84.0,114.4,128.4,41.7,249.8,62.3,54.2,110.5,1257.2
