,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1961,8.0,11.0,13.6,17.4,17.4,16.0,16.5,14.6,14.2,9.3,8.0,6.9,12.7
1,1962,8.1,12.0,13.6,17.0,18.9,16.1,17.0,17.1,14.1,11.2,9.0,6.6,13.4
2,1963,8.2,13.2,16.5,20.1,20.0,16.7,17.7,18.9,14.9,11.3,8.5,6.8,14.4
3,1964,7.1,10.9,13.9,17.1,21.5,19.2,19.0,18.3,12.0,11.2,8.4,5.7,13.7
4,1965,8.0,11.4,14.7,18.0,19.0,21.6,16.3,22.7,14.2,12.2,7.2,5.4,14.2
5,1966,7.5,9.4,13.0,18.5,19.6,18.7,15.5,19.8,12.6,11.0,7.5,5.5,13.2
6,1967,7.3,10.7,14.1,16.9,20.6,21.0,18.6,17.5,12.3,10.3,7.8,5.6,13.6
7,1968,7.0,11.2,13.3,16.0,18.0,20.8,18.5,14.7,15.1,9.5,8.1,5.1,13.1
8,1969,6.7,8.7,13.7,16.7,21.1,18.6,15.7,16.6,15.0,12.0,7.8,6.6,13.3
9,1970,8.5,11.1,13.9,17.0,19.8,16.4,17.1,15.4,12.6,9.7,6.3,5.2,12.8
10,1971,6.9,9.8,12.3,15.7,15.0,19.5,20.0,19.5,11.9,11.3,9.4,7.1,13.2
11,1972,7.5,9.8,14.9,18.0,19.3,21.6,18.1,17.9,15.3,12.7,8.2,6.7,14.1
12,1973,8.0,9.8,13.5,18.5,20.9,18.2,19.9,16.9,11.0,9.1,6.1,5.5,×
13,1974,7.2,8.6,10.7,14.9,19.6,15.8,13.0,17.7,12.2,8.5,6.6,5.7,11.7
14,1975,7.0,8.6,12.9,16.4,17.7,15.6,16.8,19.0,13.9,8.9,6.7,5.3,12.4
15,1976,6.2,9.0,12.4,16.2,17.2,15.6,16.6,11.2,12.2 ),8.9,6.6,5.8,11.5
16,1977,7.3,10.0,11.8,15.3,17.6,16.3,18.0,14.1,12.9,10.9,6.5,5.2,12.1
17,1978,6.1,9.0,12.7,15.3,18.6,16.2 ),19.9,18.1,11.0,10.4,6.1,5.8,12.4
18,1979,6.5,8.1,13.0,14.0,17.0,15.6,15.7,17.1,12.0,9.4,6.3,5.1,11.6
19,1980,5.9,10.2,12.5,14.9,18.1,18.5,13.4,13.3,12.0,8.8,7.2,4.9,11.6
20,1981,6.7,8.7,13.8 ),15.7,16.6,14.7,17.8,16.9,12.5 ),9.0,5.3,5.3,11.9
21,1982,6.8,9.6,11.5,16.6,17.8,18.3,17.8,14.8,10.7 ),10.9,5.9,5.4,12.2
22,1983,7.1,8.5,12.5,15.9,20.5,18.3,14.3,15.5,12.7,10.5,6.7,6.0,12.4
23,1984,7.2,10.4,13.2,16.5,17.2,17.4,16.4,20.8,12.5,10.2,7.7,6.2,13.0
24,1985,7.6,9.4,11.4,15.5,19.5,16.9,17.4,19.9,12.0,9.4,5.9,6.2,12.6
25,1986,7.4,10.3,13.2,15.7,18.9,18.3,16.0,17.9,13.8,8.6,7.0,5.9,12.8
26,1987,6.7,8.8,13.3,18.1,18.4,19.7,15.0,14.4,12.6,9.9,6.8,5.4,12.4
27,1988,5.9,10.3,11.5,15.9,17.5,17.5,13.9,15.0,10.2,9.7,6.1,6.0,11.6
28,1989,6.1,8.4,11.8,15.8,16.6,16.5,17.2,15.6,9.2,9.2,5.9,5.3,11.5
29,1990,6.6,7.7,12.3,14.7,18.0,16.3,16.8,17.7,11.4,8.6,5.7,5.1,11.7
30,1991,6.7,8.0,11.8,17.8,18.0,16.8,13.9,16.9,12.1,7.9,6.8,5.1 ),11.8
31,1992,6.1,9.6,11.0,14.7,15.6,18.4,16.2,16.0,13.5,9.2,6.7,4.7,11.8
32,1993,5.7,8.8,11.6,15.2,18.0,14.6,13.1,13.0,10.9,10.1,7.0,4.7,11.1
33,1994,6.4,9.4 ),12.5,17.6,17.2,17.1,18.1,17.1,11.3,9.4,6.9,5.1,12.3
34,1995,7.0,10.9,11.7,15.6,17.1,14.9,14.2,15.9,12.7,10.8 ),7.5 ),6.0,12.0
35,1996,7.0,11.0,13.0,15.8,18.7,15.4,16.1,17.6,13.4,10.7,6.3,6.3,12.6
36,1997,6.5,10.1,13.7 ),14.9,16.4,17.1,16.0,17.5 ),9.2,10.6,6.9,5.6,12.0
37,1998,5.9,10.2,12.6,15.6,18.5,15.9,18.2,12.9,12.8,9.5,7.1,5.1,12.0
38,1999,6.8,9.0,12.2,14.6,19.6,16.8,17.2,17.1,12.1,10.5,7.5,4.7,12.3
39,2000,6.1,8.1,12.1,15.0,18.2,17.3,17.4,18.3,11.6,10.1,6.1,5.8,12.2
40,2001,6.5,10.0,12.7,19.2,18.0,16.5,19.5 ),15.8,13.8,10.2,7.3 ),5.1,12.9
41,2002,6.3,9.9 ),13.0,18.1,17.5 ),19.0,15.6 ),17.3,12.7 ),9.7,5.9,5.2,12.5
42,2003,6.5 ),10.1 ),13.8 ),14.6,20.1,17.9,13.9,12.2,13.0,10.8,6.7,4.7,12.0
43,2004,6.9,9.4,13.5,17.7,15.8,20.0,19.1 ),18.3,13.0 ),8.6 ),6.7,6.3,12.9
44,2005,6.5,8.6,12.3,17.9,18.6,20.0 ),15.0 ),15.4 ),13.8 ),9.3,7.4,6.0,12.6
45,2006,7.8,9.1,13.2,15.0 ),17.0,19.3,12.3,18.4,13.2,10.2,7.0,4.1,12.2
46,2007,6.8,9.9,11.1,15.0,18.2 ),19.1,13.7,16.6,13.8,11.0,7.5,4.7,12.3
47,2008,7.0,9.6,13.2,13.9 ),18.5,18.8 ),17.2,15.0,13.8,10.1,6.6,5.8,12.5
48,2009,7.0,9.7,12.8,17.2,18.3,17.9,14.3,14.5,13.6,10.5,7.1,5.6,12.4
49,2010,6.2,9.7,11.1,13.6,16.4,18.7,17.7,18.1,11.6,10.1,6.9,5.7,12.2
50,2011,7.6,10.5,12.9,16.8,18.8,17.9,18.7,15.7 ),13.0,10.0,6.6,5.6,12.8
51,2012,6.6,9.4,12.3,16.4,17.4,20.1,16.7,19.3,14.3,9.8,5.9,5.3,12.8
52,2013,7.4,9.5,13.3,16.1,20.3,21.1,12.7,16.9,14.2,9.2,6.8,5.2,12.7
53,2014,6.9,9.7,11.3,19.1,19.0,18.9,16.9,14.5,15.5,11.1,6.6,4.7,12.9
54,2015,6.4,9.1,13.1,17.2,22.3,18.5,18.4,14.2,12.6,11.6,6.3,5.4,12.9
55,2016,5.9,9.7,13.7,17.2,19.0,18.6,17.2,18.3,11.3,11.3,7.1,5.4,12.9
56,2017,6.6,9.1,12.3,16.2,19.4,18.6,17.0,14.6,14.5,8.0,6.7,5.5,12.4
57,2018,6.8,11.2,14.5,16.3,17.3,19.0,20.3,15.7,11.9,11.0,8.1,6.0,13.2
58,2019,6.5,9.9,12.2 ],　,　,　,　,　,　,　,　,　,8.2 ]
