,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1966,　,　,　,168.7,219.2,185.5,209.4,228.8,199.8,192.8,152.7,133.8,1690.7 ]
1,1967,144.4,138.4,166.5,160.2,251.3,220.1,176.4,258.3,248.3,168.6,135.4,112.6,2180.5
2,1968,127.3,125.9,227.1,228.1,218.3,208.5,168.9,188.8,147.1,193.5,194.2,131.8,2159.5
3,1969,92.1,102.7,148.0,196.2,245.2,201.7,209.1,238.4,187.1,226.4,163.1,133.1,2143.1
4,1970,133.6,151.0,202.4,160.6,202.8,96.5,172.0,201.3,156.8,169.0,177.9,144.8,1968.7
5,1971,139.1,143.8,199.5,241.1,220.7,122.2,196.5,178.2,172.3,200.3,198.7,155.6,2168.0
6,1972,128.1,118.9,152.5,193.9,225.9,170.9,173.4,227.4,193.5,194.9,135.0,148.0,2062.4
7,1973,112.9,137.7,198.3,178.2,192.9,205.9,258.1,243.2,163.8,165.1,178.2,143.2,2177.5
8,1974,167.2,137.2,187.1,226.8,232.1,229.4,119.4,280.7,194.4,170.3,184.5,116.2,2245.3
9,1975,143.0,133.3,214.8,161.3,197.5,190.9,237.5,260.8,190.7,152.3,156.8,137.5,2176.4
10,1976,151.0,121.0,174.9,171.8,179.1,158.2,194.6,203.2,179.3,203.7,142.9,140.8,2020.5
11,1977,128.7,165.5,155.6,186.5,191.6,166.2,224.2,170.6,195.1,250.8,137.4,168.3,2140.5
12,1978,117.9,138.5,221.9,223.6,230.2,170.2,293.5,246.5,159.1,196.0,174.3,178.2,2349.9
13,1979,135.6,124.5,170.8,189.2,261.2,110.2,176.9,188.8,184.9,236.4,124.5,152.8,2055.8
14,1980,114.8,149.1,152.3,200.9,216.3,113.0,96.5,85.0,172.6,168.3,187.0,121.6,1777.4
15,1981,171.4,117.8,162.6,189.5,217.1,133.7,205.7,214.8,184.2,184.4,140.0,142.2,2063.4
16,1982,144.2,122.3,191.4,204.4,244.3,241.5,145.6,194.9,147.6,212.1,117.6,127.9,2093.8
17,1983,152.5,167.7,144.2,185.9,243.9,230.6,196.1,241.9,139.4,181.8,166.1,164.0,2214.1
18,1984,129.8,150.6,181.8,188.2,252.3,152.0,201.6,251.4,146.9,203.8,163.9,133.3,2155.6
19,1985,145.3,101.1,142.8,212.0,202.2,126.6,206.3,274.5,164.6,173.1,149.4,115.6,2013.5
20,1986,147.7,142.1,181.6,173.5,178.9,183.5,161.8,245.6,172.0,195.1,138.2,127.6,2047.6
21,1987,134.9,135.4,125.0,179.4,207.6,208.1,114.7,144.5,172.5,166.6,146.0,155.0,1889.7
22,1988,118.5,134.2,121.8,207.2,211.9,140.7,159.6,177.8 ),157.8 ),190.0,168.1,168.1,1955.7
23,1989,101.1,111.5,177.4,212.3,171.4,161.9,196.7,183.9,119.0,213.3,144.5,143.7,1936.7
24,1990,104.0,91.2,164.8,187.1,187.5,173.2,205.4,275.3,128.6,155.7,152.1,112.7,1937.6
25,1991,116.4,113.7,128.6,154.0,118.6,81.3,117.2,179.6,152.9,170.1,184.5,123.9,1640.8
26,1992,100.6,133.7,98.4,191.7,185.8,177.4,158.4,109.5,185.1,174.9 ),121.2,112.7,1749.4
27,1993,91.3,115.2,130.5,211.9,155.2,129.0,117.2,111.9,140.2,176.2,86.6,129.0 ),1594.2
28,1994,115.3,125.6,186.8,187.0,215.9,168.3,285.4,270.6,203.8,203.7,164.1,117.3,2243.8
29,1995,146.7,153.1,154.4,165.6,224.4,168.6,172.2,240.8,153.3,188.5,169.3,112.7,2049.6
30,1996,130.2,126.3,124.3,204.2,228.0,117.5,179.9,218.4,165.5 ),168.5,100.6,143.0,1906.4
31,1997,130.9,140.2,168.7,191.6,192.5,162.5 ),139.4,194.8,155.2,227.0 ),149.2,122.1,1974.1
32,1998,86.8,95.8,154.5,156.3,159.0,108.1,162.2,186.2,161.6,128.2,153.1,179.1,1730.9
33,1999,150.2,145.4,102.7,162.0,246.8,122.0,111.3,142.3,123.0,172.1,144.7,158.1,1780.6
34,2000,102.5,130.5,206.1,185.3,206.1,145.2,201.4,226.8,157.8,133.2,130.7,155.0,1980.6
35,2001,108.3,111.3,151.3,191.6,176.7,142.0,213.9,210.6,194.4,171.6,155.1,127.9,1954.7
36,2002,113.5,147.7,191.6,144.4,160.2,208.8,160.9,201.7,200.1,167.2,165.6,94.1,1955.8
37,2003,100.2,110.1,149.6,142.7,166.5,112.6,103.1,145.0,202.3,213.1,116.9,121.0,1683.1
38,2004,149.4,170.0,186.0,235.5,159.8,182.9,210.7,175.5,86.9,168.7,184.9,149.8,2060.1
39,2005,100.7,106.6,143.3,201.2,256.7,188.3,143.3,178.2,157.8,159.8 ),162.2,114.6,1912.7
40,2006,117.6,96.0,171.4,142.9,155.5,159.8,104.9,213.4,177.2,213.4,134.7,117.8,1804.6
41,2007,112.2,146.4,179.7,194.9,233.4,115.9,109.2,195.4,158.3,186.0,165.4,113.8,1910.6
42,2008,111.9,143.6,169.2,182.9,224.7,104.9,211.9,191.5,152.7,183.6,136.6,144.9,1958.4
43,2009,93.3,119.4,179.6,220.7,214.9,185.2,83.8,188.1,198.5,171.3,107.2,120.8,1882.8
44,2010,131.1,123.1,115.1,151.1,198.9,150.1,138.2,234.9 ),176.9 ),125.2,168.8,130.8,1844.2
45,2011,123.7,126.2,185.7,208.4,149.4,98.3,153.1,165.6,171.0,161.0,127.0,115.7,1785.1
46,2012,114.9,93.9,133.3,188.6,176.8,107.9,170.5,190.7,155.6,187.3 ),134.9,115.3,1769.7
47,2013,129.2,130.8,189.3,194.1,251.9,119.5,203.5,219.1,196.6,152.2 ),146.6,107.9,2040.7
48,2014,154.1,115.6,171.9,166.5,273.8,105.0,150.9,74.0,147.0,172.0,135.6,104.6,1771.0
49,2015,113.8,102.4,192.2,163.0,233.2,121.1,103.7,202.7,152.6,237.9,114.9,116.0,1853.5
50,2016,89.9,125.1,180.4,175.8,216.3,108.6,185.0,256.6,85.7,105.5,137.4,114.2,1780.5
51,2017,141.7,141.1,161.6,181.9,257.9,197.0,156.7,225.2,137.7,110.3,158.0,119.8,1988.9
52,2018,105.7,136.9,207.6,205.4,178.9,162.5,238.2,263.3,106.0,172.2,164.9,83.4,2025.0
53,2019,149.1,102.6,80.1 ],　,　,　,　,　,　,　,　,　,331.8 ]
