,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1966,　,　,　,　,　,8.4,7.8,7.6,6.8,5.6,5.0,5.7,6.7 ]
1,1967,5.0,5.5,5.4,7.7,5.6,7.1,7.7,6.1,7.7,5.9,6.1,3.8,6.1
2,1968,6.0,4.7,6.5,6.2,7.2,7.8,8.0,7.7,7.7,5.7,3.4,5.5,6.4
3,1969,5.8,7.0,6.7,6.0,5.5,6.8,8.1,6.6,6.9,5.2,5.0,3.7,6.1
4,1970,4.4,5.4,6.3,7.3,7.7,8.3,7.5,7.2,7.9,5.8,4.7,5.2,6.5
5,1971,4.1,6.3,5.7,5.8,7.1,8.9,7.5,6.7,7.3,6.9,4.7,4.7,6.3
6,1972,5.2,6.3,5.3,6.5,6.6,7.8,7.9,5.9,6.0,5.3,5.5,5.0,6.1
7,1973,5.7,6.2,5.2,7.0,6.1,7.6,6.3,6.2,7.5,5.8,3.8,3.6,5.9
8,1974,6.2,5.8,6.4,6.2,6.6,7.4,8.6,6.2,7.4,6.9,4.8,6.6,6.6
9,1975,6.0,6.6,5.4,7.6,7.6,7.9,6.9,6.3,5.2,7.3,4.7,5.2,6.4
10,1976,4.5,6.6,6.4,8.3,7.4,8.1,7.5,6.8,6.5,6.0,5.5,4.9,6.5
11,1977,6.2,5.5,6.0,6.6,6.6,8.1,7.2,7.5,6.7,3.9,5.7,4.9,6.2
12,1978,6.0,6.6,5.5,5.8,7.9,7.8,5.4,4.4,7.4,5.9,5.7,4.4,6.1
13,1979,5.0,7.0,6.7,6.8,5.9,8.0,7.9,6.9,7.5,4.9,7.2,5.2,6.6
14,1980,6.5,4.9,6.4,7.1,6.9,8.8,8.4,8.8,6.2,6.6,5.6,4.4,6.7
15,1981,6.0,7.0,6.4,6.1,6.8,8.1,7.3,7.3,8.2,6.3,6.0,5.2,6.7
16,1982,5.9,6.1,5.1,6.2,5.8,7.3,8.0,7.9,7.7,5.7,6.7,4.8,6.4
17,1983,4.9,4.8,7.0,7.1,6.3,6.8,7.7,6.0,8.1,5.7,5.3,5.4,6.3
18,1984,6.2,7.0,6.1,7.2,6.8,8.9,7.8,6.0,7.0,6.1,4.9,5.4,6.6
19,1985,6.4,7.7,7.9,6.3,7.3,8.6,6.9,6.3,7.9,6.7,5.5,5.5,6.9
20,1986,5.9,5.6,5.8,6.9,7.6,8.1,7.6,6.0,6.2,5.2,5.7,4.6,6.3
21,1987,5.3,5.7,6.9,6.3,7.4,6.1,8.1,6.8,7.1,6.0,6.4,4.0,6.3
22,1988,5.8,6.3,7.4,6.6,7.0,7.9,8.0,7.6,8.0,6.3,3.9,4.5,6.6
23,1989,5.6,6.2,5.1,7.0,7.3,8.3,8.0,6.5,7.9,5.7,5.6,4.5,6.5
24,1990,6.4,7.2,6.4,6.3,7.3,8.0,7.5,5.4,6.9,6.1,5.2,4.9,6.5
25,1991,6.4,6.3,6.6,6.7,7.2,8.4,8.7,7.1,7.1,7.2,5.4,5.3,6.9
26,1992,5.5,6.3,7.2,5.8,6.8,7.8,7.4,7.1,6.3,6.5,5.8,5.7,×
27,1993,6.8,6.0,5.2,5.8,7.2,7.7,8.9,8.1,8.1,5.7,6.8,5.5,6.8
28,1994,5.6,7.1,6.2,5.8,6.7,7.4,6.2,5.3,6.0,6.1,5.2,6.2,6.2
29,1995,5.6,5.6,5.8,7.2,7.4,8.3,7.2,4.5,7.5,5.1,4.6,5.2,6.2
30,1996,6.1,5.9,7.2,5.2,6.7,9.2,6.0,7.3,7.6,5.6,7.2,4.4,6.5
31,1997,5.6,5.8,　,　,　,　,　,　,　,　,　,　,5.7 ]
32,1998,　,　,　,　,　,　,　,　,　,　,　,　,　
33,1999,　,　,　,　,　,　,　,　,　,　,　,　,　
34,2000,　,　,　,　,　,　,　,　,　,　,　,　,　
35,2001,　,　,　,　,　,　,　,　,　,　,　,　,　
36,2002,　,　,　,　,　,　,　,　,　,　,　,　,　
37,2003,　,　,　,　,　,　,　,　,　,　,　,　,　
38,2004,　,　,　,　,　,　,　,　,　,　,　,　,　
39,2005,　,　,　,　,　,　,　,　,　,　,　,　,　
40,2006,　,　,　,　,　,　,　,　,　,　,　,　,　
41,2007,　,　,　,　,　,　,　,　,　,　,　,　,　
42,2008,　,　,　,　,　,　,　,　,　,　,　,　,　
43,2009,　,　,　,　,　,　,　,　,　,　,　,　,　
44,2010,　,　,　,　,　,　,　,　,　,　,　,　,　
45,2011,　,　,　,　,　,　,　,　,　,　,　,　,　
46,2012,　,　,　,　,　,　,　,　,　,　,　,　,　
47,2013,　,　,　,　,　,　,　,　,　,　,　,　,　
48,2014,　,　,　,　,　,　,　,　,　,　,　,　,　
49,2015,　,　,　,　,　,　,　,　,　,　,　,　,　
50,2016,　,　,　,　,　,　,　,　,　,　,　,　,　
51,2017,　,　,　,　,　,　,　,　,　,　,　,　,　
52,2018,　,　,　,　,　,　,　,　,　,　,　,　,　
53,2019,　,　,　,　,　,　,　,　,　,　,　,　,　
