,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1896,　,　,　,　,　,　,　,×,×,13.9,7.7,1.3,7.6 ]
1,1897,1.0,0.5,3.3,8.0,14.2,16.4,20.8,22.9,18.9,12.3,7.0,0.2,10.5
2,1898,1.0,1.4,2.8,7.8,12.9,16.5,22.7,23.7,19.4,13.4,8.4,3.7,11.1
3,1899,-0.7,1.0,5.0,9.5,14.7,18.8,21.0,23.7,17.8,11.4,5.7,2.9,10.9
4,1900,-0.8,0.2,2.3,8.8,14.0,16.1,20.6,23.5,20.4,14.1,8.4,2.6,10.9
5,1901,1.3,0.0,3.7,10.4,13.0,18.1,20.1,22.6,20.0,14.7,7.0,1.1,11.0
6,1902,-1.5,-0.1,5.0,7.3,13.0,16.9,19.4,21.0,20.3,13.6,8.8,4.4,10.7
7,1903,2.0,0.7,5.2,10.0,12.5,16.5,21.1,22.6,20.0,13.1,6.1,1.4,10.9
8,1904,-1.0,1.6,3.5,10.1,12.5,19.2,22.6,21.9,18.7,14.1,4.5,1.2,10.7
9,1905,0.8,-1.0,2.2,7.5,13.6,18.4,21.2,20.4,19.6,13.6,7.3,3.9,10.6
10,1906,-1.0,0.3,3.7,9.0,13.4,16.6,21.8,22.3,17.9,12.8,6.7,2.5,10.5
11,1907,1.6,-0.4,2.4,8.9,13.8,17.0,20.4,23.8,19.5,12.6,9.2,1.4,10.9
12,1908,0.2,0.1,3.1,9.0,12.9,18.5,20.1,22.9,17.6,13.8,5.4,1.6,10.4
13,1909,-0.1,-0.2,4.0,9.8,13.4,18.2,21.9,22.8,19.9,12.2,6.1,0.9,10.7
14,1910,2.1,-0.4,2.9,9.0,13.7,18.2,20.8,22.1,19.0,14.4,7.2,1.1,10.8
15,1911,0.0,2.0,5.0,10.2,12.1,18.6,22.1,23.4,20.5,13.3,9.7,2.3,11.6
16,1912,-0.6,2.4,4.9,9.5,13.7,17.5,22.0,22.6,18.4,13.1,6.8,2.5,11.1
17,1913,-1.4,1.2,2.0,10.2,12.4,17.8,21.2,21.0,17.5,13.3,7.1,2.0,10.4
18,1914,0.5,0.6,5.7,7.7,14.7,19.0,22.7,23.3,20.0,12.6,9.1,2.2,11.5
19,1915,0.2,1.4,3.0,8.3,12.5,19.4,21.4,23.5,20.7,15.2,8.3,2.4,11.4
20,1916,1.1,0.8,2.1,9.6,13.8,20.0,21.5,22.5,21.4,13.8,8.4,3.7,11.6
21,1917,-1.4,-0.5,2.8,9.1,11.8,17.0,22.7,22.4,20.4,14.2,5.4,-0.2,10.3
22,1918,-2.0,0.2,3.6,8.6,13.1,17.9,23.4,23.4,20.1,13.9,8.0,1.4,11.0
23,1919,-0.1,1.1,4.6,9.5,12.6,16.8,21.0,22.3,20.4,13.9,9.3,2.3,11.1
24,1920,0.1,0.4,3.8,8.9,14.0,18.0,23.4,23.4,19.4,13.8,9.5,2.3,11.4
25,1921,0.7,-0.1,2.1,10.4,13.5,16.3,22.1,22.7,19.5,12.8,5.3,2.1,10.6
26,1922,-2.0,3.7,2.7,9.4,13.6,18.2,22.5,24.5,21.0,13.5,7.8,-0.1,11.2
27,1923,-1.7,-0.1,4.4,8.4,14.0,17.6,21.5,24.3 ),×,×,×,×,11.1 ]
28,1924,-1.0,0.8,1.5,11.3,12.9,16.8,22.6,22.7,18.8,12.5,5.4,1.7,10.5
29,1925,-0.6,-1.0,1.1,7.8,11.7,17.1,20.1,22.7,19.9,13.1,7.8,2.5,10.2
30,1926,-1.2,0.4,1.8,5.9,12.6,15.2,21.4,23.1,20.6,11.3,6.0,0.1,9.8
31,1927,-1.4,-1.6,2.5,9.5,13.1,16.7,22.9,23.0,18.6,13.3,7.3,1.9,10.5
32,1928,0.1,-0.9,2.7,8.3,14.3,17.2,20.7,21.1,20.2,13.8,8.3,2.4,10.7
33,1929,-1.1,-1.4,2.1,8.1,12.5,16.4,22.4,23.2,17.4,13.5,8.0,5.6,10.6
34,1930,0.4,1.8,5.0,9.6,13.7,17.8,23.0,23.2,17.5,13.0,6.5,1.8,11.1
35,1931,-0.8,-0.4,3.3,7.8,11.8,16.8,18.9,22.7,19.1,12.9,8.0,3.2,10.3
36,1932,2.3,0.4,2.3,7.4,13.5,16.6,22.1,23.2,19.0,13.0,7.4,2.2,10.8
37,1933,-0.2,-0.2,2.3,8.8,13.7,17.9,23.1,23.9,18.9,12.9,7.3,2.4,10.9
38,1934,-1.8,-0.6,1.4,7.5,13.4,17.8,20.7,22.4,18.6,11.3,7.0,2.8,10.0
39,1935,-0.2,1.1,2.6,8.2,12.2,17.6,21.0,21.8,17.9,13.3,7.0,1.9,10.4
40,1936,-2.0,-1.1,1.9,7.5,12.3,17.9,21.0,22.8,20.4,12.6,7.6,2.8,10.3
41,1937,1.1,2.0,3.7,8.4,13.4,15.6,22.9,24.3,19.1,12.9,7.8,1.4,11.1
42,1938,-1.0,-0.7,4.8,8.4,14.8,17.6,21.9,22.8,19.0,13.3,6.7,2.0,10.8
43,1939,-1.3,-0.1,2.7,8.2,13.2,16.7,22.7,22.3,20.3,14.4,8.9,1.3,10.8
44,1940,-1.9,-0.6,3.2,8.3,12.6,17.9,22.8,21.1,18.1,14.0,8.8,2.0,10.5
45,1941,0.4,0.5,4.0,8.2,13.1,17.1,20.6,22.1,17.2,13.1,8.3,3.6,10.7
46,1942,-1.0,-0.9,5.6,7.7,12.7,18.1,23.4,23.0,21.0,11.9,5.7,1.5,10.7
47,1943,-2.5,-0.2,2.7,6.6,13.1,17.9,21.4,23.3,21.1,13.8,7.0,1.9,10.5
48,1944,-0.8,-1.0,1.0,6.3,13.2,18.2,21.6,23.5,19.4,12.8,7.4,0.4,10.2
49,1945,-3.1,-2.5,1.9,8.2,11.5,17.0,18.5,22.9,18.9,13.5,7.4,1.2,9.6
50,1946,-0.6,0.4,2.2,9.7,13.0,19.0,22.4,22.9,19.2,13.5,9.4,1.4,11.0
51,1947,0.2,-1.4,2.6,8.0,12.6,16.4,21.7,23.5,19.4,12.4,6.3,0.7,10.2
52,1948,0.1,1.2,2.7,10.1,13.8,18.3,22.7,22.0,20.3,14.1,8.3,4.5,11.5
53,1949,1.5,2.9,2.3,7.3,14.0,16.1,21.9,22.8,18.5,13.1,6.8 ),3.0,10.9
54,1950,1.2,1.3,3.2,9.9,15.3,18.7,23.0,22.8,20.5,12.4,7.4,2.1,11.5
55,1951,-0.5,0.7,4.3,9.0,13.7,16.8,20.8,23.6,17.4,14.1,7.1,2.4,10.8
