,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1939,　,　,　,　,　,×,26.1,24.7,20.7,14.9,10.5,6.9,17.3 ]
1,1940,5.6,5.6,6.7,9.6,12.1,18.4,27.2,24.9,20.3,14.5,10.1,7.6,13.6
2,1941,6.5,6.1,7.2,9.1,14.4,20.1,24.1,26.8,19.3,13.1,10.7,7.7,13.8
3,1942,5.3,5.6,8.4,8.8,13.2,19.3,28.1,27.6,22.1,13.1,8.4,6.7,13.9
4,1943,5.2,5.5,6.7,8.7,13.9,19.5,24.9,26.9,23.2,14.5,9.6,7.3,13.8
5,1944,6.0,5.5,6.7,9.5,14.4,19.3,24.7,27.1,20.7,14.1,10.5,6.0,13.7
6,1945,4.8,5.1,7.2,9.6,12.5,19.6,22.8,27.7,22.4,14.9,9.5,6.4,13.5
7,1946,6.1,6.1,6.9,11.1,13.3,21.3,27.1,26.1,19.9,14.4,11.6,6.4,14.2
8,1947,6.4,5.3,6.5,8.9,13.2,17.3,26.0,27.6,21.7,12.5,8.4,6.4,13.4
9,1948,5.9,6.3,6.8,10.7,13.3,19.1,27.6,28.0,22.5,16.3,11.2,9.6,14.8
10,1949,6.7,7.1,6.9,9.2,14.1,19.5,25.5,26.4,22.0,13.3,10.0,8.0,14.1
11,1950,7.1,6.4,7.4,10.9,14.6,19.6,25.9,27.5,22.1,14.0,10.3,6.6,14.4
12,1951,6.2,6.7,7.1,10.0,14.2,17.2,24.7,27.0,17.6,14.4,9.9,8.2,13.6
13,1952,6.3,5.9,7.2,10.4,14.0,19.2,25.8,27.4,21.3,12.9,11.2,7.5,14.1
14,1953,6.3,6.5,8.2,9.2,13.7,20.9,27.2,28.3,22.4,15.0,10.1,8.5,14.7
15,1954,7.6,7.1,7.4,11.5,14.5,18.4,23.7,27.7,22.8,13.6,10.8,7.8,14.4
16,1955,5.9,6.8,8.6,10.9,14.9,21.9,27.0,25.5,21.1,14.5,8.8,7.6,14.5
17,1956,6.3,5.7,8.5,9.7,14.0,19.9,26.7,25.4,22.2,14.8,9.3,5.8,14.0
18,1957,6.8,5.9,6.4,11.0,13.5,18.6,25.7,26.6,18.8,13.7,10.4,7.6,13.8
19,1958,6.2,6.6,7.8,11.5,13.4,19.4,27.1,26.3,22.5,14.0,10.4,8.1,14.4
20,1959,6.3,8.0,8.1,10.8,14.4,18.7,26.9,27.9,22.3,15.0,11.2,7.8,14.8
21,1960,6.4,6.9,8.3,9.4,14.2,19.1,26.8,26.9,22.2,14.4,11.0,6.9,14.4
22,1961,5.5,5.4,7.6,10.0,15.2,19.3,27.8,28.4,24.1,17.1,11.1,7.7,14.9
23,1962,6.0,6.4,7.2,9.8,13.7,18.7,26.8,26.9,21.3,13.8,10.6,7.5,14.1
24,1963,5.0,5.2,6.9,11.3,16.5,21.1,26.3,27.1,19.3,13.4,9.7,7.5,14.1
25,1964,6.9,5.9,6.7,14.2,14.6,18.8,27.5,28.7,22.2,14.4,9.6,7.5,14.8
26,1965,5.8,6.0,6.2,8.9,13.9,19.4,26.3,25.1,18.6,12.8,10.8,7.2,13.4
27,1966,5.7,7.1,8.0,10.7,13.6,19.4,25.0,28.1,21.4,14.9,9.8,6.7,14.2
28,1967,6.0,6.4,7.8,11.2,14.6,18.9,26.2,27.3,21.1,13.6,10.6,6.0,14.1
29,1968,5.8,5.2,7.3,10.4,13.4,18.4,24.8,26.2,20.4,13.2,10.2,8.8,13.7
30,1969,6.7,6.7,7.0,10.2,13.5,17.8,24.8,25.8,21.9,13.1,9.2,6.5,13.6
31,1970,5.6,6.2,5.7,10.1,14.1,18.9,25.7,27.7,23.2,14.8,10.0,6.8,14.1
32,1971,6.0,6.3,6.6,9.6,13.5,20.6,27.2,25.5,20.9,13.1,9.9,7.2,13.9
33,1972,7.4,6.6,7.8,10.5,13.6,18.0,24.5,24.8,20.0,13.9,9.8,7.5,13.7
34,1973,6.8,6.7,6.9,11.1,13.0,18.8,26.6,27.7,19.5,13.5,8.6,6.1,13.8
