,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,1956,　,　,　,　,　,　,　,　,　,　,21.3,19.1,20.2 ]
1,1957,18.9,17.5,19.3,22.9,25.5,26.6,28.8,28.7,26.7,24.0,22.2,19.9,23.4
2,1958,18.0,17.8,20.5,23.7,25.4,26.3,28.3,28.1,27.4,24.7,21.9,20.4,23.5
3,1959,17.0,20.3,20.8,22.6,25.2,27.5,28.8,28.4,27.3,24.8,22.7,20.8,23.9
4,1960,18.4,19.0,22.6,22.4,24.9,27.3,29.2,27.6,27.4,25.3,23.2,19.0,23.9
5,1961,17.3,17.9,20.3,22.8,25.3,28.4,28.3,28.3,27.4,25.3,23.2,20.2,23.7
6,1962,15.8,18.4,19.2,21.3,25.9,27.8,28.9,28.4,27.3,25.2,22.1,19.4,23.3
7,1963,14.1,15.8,19.2,22.1,26.7,26.7,27.7,28.7,27.9,24.5,22.7,19.2,22.9
8,1964,18.4,17.6,19.4,25.0,25.1,26.9,28.9,28.3,27.7,25.9,22.0,19.3,23.7
9,1965,17.7,19.2,19.3,22.4,24.1,26.7,27.8,27.9,26.6,24.3,23.3,19.8,23.3
10,1966,19.4,20.4,21.7,23.5,24.5,26.5,28.4,28.2,26.0,24.7,22.9,20.2,23.9
11,1967,16.9,17.1,20.1,23.3,26.2,27.0,28.7,28.5,26.6,24.3,22.8,16.6,23.2
12,1968,17.3,15.0,19.1,21.5,25.0,26.5,28.5,28.1,26.5,23.9,21.8,20.7,22.8
13,1969,19.0,18.0,19.7,23.2,25.8,26.1,29.0,28.0,27.7,24.3,21.4,18.5,23.4
14,1970,16.8,18.4,18.6,21.7,25.7,27.1,28.4,28.4,27.7,25.5,22.1,20.1,23.4
15,1971,16.0,17.4,19.3,22.3,24.2,28.2,28.8,28.0,27.4,24.2,21.7,19.7,23.1
16,1972,18.6,18.1,19.0,21.6,25.3,27.3,27.9,27.1,26.6,25.1,22.7,19.8,23.3
17,1973,18.6,21.0,20.8,23.9,25.4,26.7,27.9,27.8,27.3,25.2,21.8,17.8,23.7
